Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
nuclear electricity,How does a nuclear-powered power station generate electricity?,396,Uranium fuel is placed in the nuclear reactor.,The uranium atoms are split (fission) to produce heat.,The heat is used to turn water into steam.,The steam drives a turbine.,The turbine spins a genator.,The spinning generator creates electricity.,,,,
wind electricity,How does a wind-powered power station generate electricity?,397,Wind passes the turbines and moves the blades.,The shaft of the turbine spins.,Shaft is connected to a generator.,The generator uses the spins of the shaft to rotate a rotor.,"The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.",The spinning of the rotor in the core generates electricity.,,,,
solar panels,How do solar panels generate electricity?,400,The are set up and produced with conductors.,They are set up to take the sun rays.,The sun heats up the elements.,The elements create energy.,The energy is turned into electricity.,,,,,
solar panels,How do solar panels generate electricity?,401,Solar panels are made up of two types of silicon.,Sun shines on solar panels.,Sunlight goes into the top half of the solar panel.,Sunlight travels into the bottom half of the solar panel.,"The ""jump"" between the two halves can be used to make direct current.","A solar ""inverter"" changes the direct current to alternating current.",Alternating current can be used to power things in your house.,,,
vision,How does the human vision system work?,409,Light enters the eyes.,The lens focuses light through the vitreous humor.,The cornea focuses through the eye's internal lens.,The retina receives the image.,The retina transforms this image into electrical impulses.,The impulses travel along the optic nerve to the brain.,The brain decodes the impuses.,,,
vision,How does the human vision system work?,410,The cornea helps to focus light.,Light passes to the iris.,The pupil within the iris expands or contracts to control the amount of light entering the eye.,The retina converts the light that reaches the retina into an electric signal.,Sends the signal to the brain.,The brain translates the electrical signals into the images a person sees.,,,,
vision,How does the human vision system work?,411,"Visual perception begins as soon as the eye focuses light onto the retina, where it is absorbed by a layer of photoreceptor cells.","These cells convert light into electrochemical signals, and are divided into two types, rods.",Cones.,Signals from the photoreceptor cells pass through a network of interneurons in the second layer of the retina to ganglion cells in the third layer.,The neurons in these two retinal layers exhibit complex receptive fields that enable them to detect contrast changes within an image; these changes might indicate edges or shadows.,The optic nerve primarily routes information via the thalamus to the cerebral cortex.,"Information concerning moving targets and information governing scanning of the eyes travels to a second site in the brainstem, a nucleus called the superior colliculus.","Most projections from the retina travel via the optic nerve to a part of the thalamus called the lateral geniculate nucleus (LGN), deep in the center of the brain.",,
auditory,How does the human auditory system work?,412,Sound waves enter your outer ear.,Travel through ear canal to your ear drum.,Eardrum vibrates with the incoming sound.,Send the vibrations to three tiny bones in your middle ear.,Bones in your middle ear amplify the vibrations.,Send them to your inner ear.,The vibrations activate tiny hair cells in your inner ear.,The hair cells release neurochemical messengers.,Your auditory nerve carries the message to your brain.,The brain translates the message so you can understand.
auditory,How does the human auditory system work?,413,Something makes a sound and makes sound waves.,"Sound waves are ""collected"" by the the outer ear.",Sound waves travel through the middle ear.,Sound waves hit the eardrum.,Vibrations from the eardrum cause very small bones in the inner ear to move.,The small bones in the inner ear give information about sound to the cochlea.,The cochlea helps turn the sound vibrations into nerve signals.,The brain can take these nerve signals and can register a sound to you because of them.,,
bone,How does a broken bone get treated and healed?,416,A blood clot forms in the break.,Cells in the clot keep foreign objects out.,Cells create a soft callous.,Minerals are added to the callous.,The callous hardens because of the minerals.,The callous is removed by other cells.,Excess bone is removed.,The bone is restored to its initial shape and strength.,,
transport,How does coal get from the ground to a power station?,422,Coal is harvested from a coal mine.,The coal is transported either by train or truck to power station.,The coal is burned in a furnace.,Water is turned into steam in the boiler.,The steam is cooled in cooling towers.,The steam turns the turbines.,The generator makes electricity.,The electricity is sent through transformers.,,
transport,How does coal get from the ground to a power station?,423,A mine is excavated in the side of a mountain.,Miners enter the mine.,Miners remove the coal from the mine.,The coal is placed into carts or on a conveyor belt.,The coal is moved up to the surface.,The coal is loaded onto a truck.,The truck takes the coal to a power station.,,,
gasoline,How does oil get from the ground to a gas station?,424,Crude oil is pumped from the ground.,The crude oil is put into a tanker truck.,The crude oil is delivered to an oil refinery.,Impurities are removed from the oil.,The oil is bottled.,The bottled oil is delivered to gas stations by trucks.,,,,
gasoline,How does oil get from the ground to a gas station?,425,The oil is extracted from the ground by drilling.,Oil is transported to a refinery.,The oil is refined into a more useful product.,The gas made from the refining is loaded onto tank trucks.,The trucks deliver the gas to gas stations.,,,,,
nitrogen cycle,Describe the nitrogen cycle,429,Nitrogen exists naturally in the atmosphere.,"Bacteria in soil ""fix"" the nitrogen.",Nitrogen is now usable by living things.,Plants absorb this usable nitrogen through their roots.,Animals eat the plants.,Animals make waste.,Uneaten plants die.,Nitrogen re-enters the soil.,Different bacteria turn nitrogen back into a gas-based form.,Gas-based nitrogen re-enters the atmosphere.
trash,Describe how trash travels from the house to the landfill,430,Trash is made during household activities.,Trash is collected within the house.,Sometimes trash is sorted into recycling.,Trash is put out at the curbside.,The city collects the trash.,The trash is placed into a truck.,The truck drives to a landfill.,The trash is unloaded.,Sometimes the trash might be sorted more.,The trash is put into the landfill.
trash,Describe how trash travels from the house to the landfill,431,Trash is put into a household trashbag.,The trashbags are thrown into a large outdoor trashcan.,The trashcan is emptied by a large trash truck.,The trash truck travels to the landfill.,Unloads all the trash the truck has collected.,,,,,
trash,Describe how trash travels from the house to the landfill,432,Trash is deposited in a large can or in bags outside of the house.,The trash is picked up by workers who put it on a garbage truck.,The garbage truck is driven to a sorting center.,The garbage is sorted.,Some of the garbage is saved for recycling.,The rest of the garbage is driven to the landfill.,,,,
vegetables,How do you grow vegetables?,433,Get some seeds.,Pick a spot to plant them.,Dig a hole in the dirt.,Put the seed in the hole.,Pour some water on the seed and hold.,Cover up the hole.,Press down on it.,Spray some plant food on it.,,
vegetables,How do you grow vegetables?,435,You plant vegetable seeds in the ground.,You water the seeds.,You wait for the seeds to sprout.,You keep the area free of pests and weeds while the plants grow.,You thin out the plants as they get bigger to give them space to grow.,You remove the vegetables from the plants when they are ripe.,,,,
boil,How do you get water to boil?,436,Add water to a pot.,Put the pot over a source of heat.,Turn the heat on.,Wait for a few minutes.,Begin to observe small bubbles in the water.,Wait until the water starts to bubble a lot.,Wait until you can see steam rising from the water.,Turn the heat source off.,Take the pot off of the heat source.,
perspiration,Describe how perspiration helps to keep someone cool.,441,As the sweat evaporates the sweat sheds molecules into the air.,The sweat changes into a gas.,Heat is drawn from the sweat.,This process draws heat from the body.,The evaporation also cools the remaining sweat on the body.,,,,,
pollination,How do bees pollinate plants?,443,A bee visits a flower.,The pollen from that flower sticks to the bee.,The bee flies to another flower of the same type.,The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,The flower is pollinated.,Will begin to develop seeds and fruit.,,,,
pollination,How do bees pollinate plants?,444,Bees land on flowers to gather nectar.,Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.,"When the bees fly away, the pollen goes with the bees.",The bees land on other flowers.,The pollen sacs are rubbed off onto the stigma of the new flower.,,,,,
rock cycle,Describe the rock cycle,445,The magma comes out form a volcano.,The magma cools and becomes a rock.,Over time the rock picks up sediment which changes the type of rock.,This creates a sedimentary rock.,The heat from inside and outside can cook a rock.,This heat forms a third kind of rock.,The cycle continues around the three types of rocks.,,,
rock cycle,Describe the rock cycle,446,Rock begins as magma from a volcano.,The magma cools.,Crystals form and the magma become igneous rocks.,The igneous rocks break down into sediment become sedimentary rocks.,If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.,The metaphoric rocks melt becoming magma again.,,,,
rock cycle,What happens during the rock cycle,448,Wind and water cause erosion and weathering to the rocks.,"Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.",Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,Layers of sediment stack up compacting the bottom layers.,Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.,Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,Metamorphic rocks underground melt to become magma.,Magma flows from volcanoes in the form of lava.,Lava cools and forms igneous rock.,Igneous rock begins being weathered and eroded by water and wind.
rock cycle,What happens during the rock cycle,449,Rock begins as magma from a volcano.,The magma cools.,Crystals form and the magma become igneous rocks.,The igneous rocks break down into sediment.,Become sedimentary rocks.,If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.,The metamorphic rocks melt.,Become magma again.,,
acid rain,How does acid rain form?,458,Human industry produces chemical compounds.,Chemical compounds rise into the air.,Chemical compounds mix with elements in clouds.,The affected rain falls to the earth.,The affected rain can harm natural and man-made objects because of its acidic content.,,,,,
acid rain,How does acid rain form?,459,Chemicals like sulfur dioxide and nitrogen are released into the air.,These substances rise into the high atmosphere.,They react with water and oxygen.,This creates a more acidic rain.,The rain with the high acid content falls.,,,,,
fossil fuel,How does fossil fuel form?,460,Living things have carbon in them.,Living things die.,The remains of living things eventually become buried underground.,More physical pressure is put on the remains of living things as they become further underground.,This carbon-based mixture stays underground for a long time.,Humans discover this carbon-based mixture.,This carbon-based mixture is brought up to the earth's surface.,The recently discovered fossil fuel is burned.,Burning releases the energy that has been stored in the fossil fuel.,The energy can be used to generate power.
fossil fuel,How does hail form?,463,Updrafts in a thunderstorm carry raindrops upwards.,The raindrops condense onto dust or other small parti.,The supercooled water molecules condense onto the condensation nucleus and freeze.,"The tiny ice particle keeps moving up and down, gathering more ice on the surface.",Eventually the hailstone falls to earth either because it's too heavy to remain aloft or because a drowndraft pushes it down.,,,,,
fossil fuel,How does hail form?,465,Water gets caught in winds that are moving upward.,The water freezes.,The water starts to fall.,The winds are strong enough from keeping it from falling back to earth.,This pattern of rising and falling continues.,The hail becomes too large to be pushed up by the wind.,The hail finally falls to the ground.,,,
desalination,Describe the process of desalination,466,Salt water is contained in a factory or plant.,The water is boiled to a very high tempature.,The salt becomes seperated from the water.,The sale is removed.,The water is able to be drank at this point.,,,,,
desalination,Describe the process of desalination,468,The salt water is heated.,As the saltwater is heated the water becomes a gas.,The salt particles sink to the bottom of the container.,Gaseous water is piped into another container.,Allowed to cool.,The salt particles are left behind in the first container.,The second container contains fresh water.,,,
fossilization,Describe the process of fossilization,472,The organism must die to begin the process.,The soft tissue decomposes.,The bones are left behind.,Scavengers tear the body apart and move the bones elsewhere.,Wind and rain also scatter the bones further.,The bones left behind will weather and become buried by sand and soil.,The proteins in the bone are replaced with minerals that are dissolved in the soil.,This creates a rock-like substance called a fossil.,Water and wind erosion wear away the layers of soil on top of the fossil.,This makes discovery of the fossil possible.
global warming,Describe the process of global warming,475,Suns heat enters atmosphere.,Green house gases enter from the earth.,Heat is trapped in atmosphere.,Different things on earth are hotter.,The overall planet is hotter.,,,,,
global warming,Describe the process of global warming,476,"Human beings burn fossil fuels (oil, gas, etc.).",Carbon dioxide from the burning fossil fuels enter the atmosphere.,The make-up of the atmosphere changes.,Some energy from the sun cannot escape back through the changed atmosphere.,The earth begins to heat because of the extra trapped energy.,Human beings cut down trees.,Human beings do not re-plant the trees.,Trees cannot help take the extra carbon dioxide from the atmosphere.,The extra trapped energy starts to change the earth's short term weather.,Eventually the long-term climate patterns start to change.
the greenhouse effect,Describe the process of the greenhouse effect,478,Solar radiation reaches Earth's atmosphere.,Some is reflected back into space.,"The rest of the energy is absorbed by land and oceans, heating the Earth.",Heat radiates from Earth to space.,Some of this heat is trapped by greenhouse gases in the atmosphere.,Human activities such as burning fuel are increasing the amount of greenhouses gases.,This causes more heat radiation to stay trapped in our atmosphere.,The Earth's temperature rises.,,
photosynthesis,Describe the process of photosynthesis,480,Sunlight hits chloroplasts in the plant.,The energy from the sunlight causes an enzyme in the plant to break apart the water.,"The water breakes into oxygen, hydrogen, and electrons.","Hydrogen, along with electrons energized by light, converts NADP into NADPH.",Oxygen diffuses out of the plant as a waste product of photosynthesis.,,,,,
photosynthesis,Describe the process of photosynthesis,482,Sunlight strikes the chlorophyll molecules in the plant.,Is trapped.,Plant also takes in water and carbon dioxide from the environment.,The plant forms glucose.,The plant releases oxygen into the atmosphere.,,,,,
writing and posting a letter,Describe the process of writing and posting a letter,483,A utensil or computer is chosen for wording.,A paper is chosen to write or type on.,You write what you need to on the paper.,Put the paper in an evelop.,Find a stamp.,Find a post office or your own mail box.,The letter is mailed.,,,
writing and posting a letter,Describe the process of writing and posting a letter,484,Choose what you want to write your letter on.,Think of what you want to say.,Write some nice things!.,Place the letter into an envelope.,Put a stamp on the top right corner of the face of the envelope.,Write the address of the recipient on the envelope.,Put the envelope in your mailbox.,"Raise the flag on your mailbox, indicating to the mailman that you have outgoing mail.",,
writing and posting a letter,Describe the process of writing and posting a letter,485,Get some paper and pens.,Write the letter.,Fold the letter.,Insert in an envelope.,Seal the envelope.,Address the outside.,Put on a stamp.,Mail the letter.,,
digestion,Describe the process of digestion,489,Food is taken into the mouth.,The food is chewed.,Saliva mixes with the food and starts breaking it down.,The chewed food travels down the esophagus to the stomach.,The stomach secretes acid.,Grinds and mixes the food.,The food moves to the small intestine.,The small intestine uses enzymes to further break down the food.,The food passes into the colon.,The food is expelled from the body.
digestion,Describe the process of digestion,490,Food is put into mouth.,Food is chewed and mixed with saliva (spit).,Food travels down the esophagus (throat).,Food travels into the stomach.,Acid in the stomach breaks the food down further.,Food travels into the small intestine.,Nutrients from food are absorbed into the blood stream.,Food travels into the large intestine.,Most of the remaining material is now waste.,The waste is eventually removed from the body.
hibernation,Describe the process of hibernation,493,An animal eats a lot of food to fatten up.,The animal finds or builds a suitable place to hibernate where they can stay warm and protected.,The animal moves into their den.,Their heart rate and breathing slow down to conserve energy.,They emerge from the den when the weather is warming up again.,,,,,
hibernation,Describe the process of hibernation,494,"Animals eat a lot during good (warm, clear) weather.",Animals gain weight.,"The season changes to one with bad (cold, snowy) weather.",Animals find a place to hibernate.,"Animals enter a type of ""sleep"" (hibernation).",Body processes slow down.,The animal's heart rate and breathing rate slow.,The animal loses weight more slowly than usual.,The animal is able to survive not eating or drinking without hurting itself.,
perspiration,Describe the process of perspiration,496,Body temperature rises.,The brain tells blood vessels to dilate.,The sweat glands become active.,Moisture is released from the pores.,The moisture evaporates.,The evaporation causes cooling.,,,,
flashlight,Describe how a flashlight works,499,Batteries are put in a flashlight.,The flashlight is turned on.,Two contact strips touch one another.,A circuit is completed between the batteries and the lamp.,The lamp in the flashlight begins to glow.,The reflector in the flashlight directs the lamp's beam.,A straight beam of light is generated.,The flashlight is turned off.,The circuit is broken.,The beam is no longer visible.
car,Describe how a car works,502,Energy is created by burning either diesel or petrol in a combustion chamber.,The energy is transferred from the pistons moving up and down at high speeds.,This piston motion is converted to a rotary motion through the crankshaft and axle.,The axle turns the wheels.,The car moves forward.,,,,,
car,Describe how a car works,503,A car is filled with gasoline (gas).,Someone turns the car on with a key.,The car's battery produces a spark (electricity).,The spark ignites the gas.,The burning gas expands when it encounters air.,The expanding air and gas pushes a piston out.,The motion of several pistons move the crankshaft.,Different parts of the car cause the motion in the crankshaft to cause the wheels to move.,The wheels and the car's body can move.,
internal combustion engine,Describe how an internal combustion engine works,509,Fuel is injected into the chamber.,The piston moves upwards.,Compresses the fuel.,The fuel explodes.,Chemical energy becomes thermal energy.,The explosion pushes the piston downward.,The piston moves upwards again.,The spent fuel is ejected.,New fuel is injected.,The cycle repeats.
solar eclipse,How do solar eclipses occur?,511,The moon orbits the earth.,The earth orbits the sun.,The moon comes between the sun and the earth.,The sun is totally blocked.,A solar eclipse is occurring.,,,,,
glaciers,How do glaciers form and move?,514,Snow falls in an area for a very long time.,The snow builds up for a very long time.,The snow starts to become packed very firmly.,The snow becomes something that's more like ice.,Air pockets in the mass continue to grow smaller.,The mass becomes solid and heavy enough to be called a glacier.,The glacier moves because of gravity.,,,
frog,Describe the life cycle of a frog,515,A frog lays eggs in the water.,Tadpoles develop inside of the eggs.,The eggs hatch.,The tadpoles eat and grow.,The tadpoles grow legs and form into frogs.,The frogs leave the water.,,,,
frog,Describe the life cycle of a frog,516,An adult frog spawns eggs in water.,These eggs hatch into tadpoles and continue to live in the water.,The tadpoles grow developing external gills and a longer tail.,The tadpole begins storing food in the tail.,The tadpole develops hind legs and lives off food stored in the it's tail.,The front legs appear and the tadpole's tail shortens.,The tadpole now looks like a young frog.,The young frog continues to grow to adulthood.,,
frog,Describe the life cycle of a frog,517,The frog eggs hatch.,The tadpole breaks free.,"Slowly, the gills disappear over the next 6 weeks.",The hind legs begin to form at 8 weeks.,The front legs form at 12 weeks.,The tail shrinks.,The mouth grows larger.,The tadpole can live on land as a frog.,,
fish,Describe the life cycle of a fish,518,An adult fish lays eggs.,The eggs incubate for a few weeks or months before hatching.,The young fish remain where they hatched until they are big enough to venture into the open water.,The fish continue to grow.,The fish reach adulthood.,Reproduce continuing the cycle.,,,,
fish,Describe the life cycle of a fish,519,Fish start as eggs.,The eggs hatch.,A larvae emerges.,The larvae matures and grows.,"The larvae becomes an ""adolescent"" fish (or fry).",The adolescent fish grows.,"The fish might go through several sub-stages, depend on its species or type.",The fish is now a mature adult.,The adult fish can lay more eggs.,
fish,Describe the life cycle of a fish,520,A female fish lays eggs.,Larvae hatch from the eggs.,The larvae eat and grow.,The larvae form into juvenile fish.,The juvenile fish grow into adult fish.,The adult fish mate.,The female fish lays eggs.,,,
bird,Describe the life cycle of a bird,521,Two birds meet each other.,Egg is produced after fertilziation.,Mother sits on egg until it hatches.,Bird Hatches.,Grows up.,Flee the next.,Starts family.,Dies.,,
bird,Describe the life cycle of a bird,522,A male and female bird mate.,The female lays eggs.,"The eggs are incubated by the parents, by sitting on them, for weeks.",The bird hatches from an egg.,The parents feed them as the continue to grow.,Develop flight feathers.,The parents teach them to fly.,After learning to fly they leave the nest to live on their own.,The next year they breed beginning the cycle again.,
bird,Describe the life cycle of a bird,523,A bird lays eggs in a nest.,The parent(s) incubate the eggs.,The eggs hatch.,The mother (and sometimes the father) bird take care of the baby birds.,The baby birds grow up and get their flight feathers.,The young birds learn to fly and leave the nest.,The adult birds find mates and mate.,,,
human,Describe the life cycle of a human,524,There is a fetus in the womb.,They are born and are a baby.,The baby grows into a child.,Puberty turns the child into an adolescent.,The adolescent becomes an adult.,An adult becomes an elderly person.,The elderly person dies.,,,
human,Describe the life cycle of a human,525,A man and woman mate.,Embryo is created.,Embryo grows and develops into a fetus inside the woman's womb.,The fetus is born.,Begins to grow and develop through infancy and childhood.,In the teenage years the human experiences puberty.,Reaches sexual maturity.,At 18 the human becomes an adult.,Adult may procreate continuing the cycle.,
human,Describe the life cycle of a human,526,Humans are born as babies.,Babies become infants.,Infants become children.,Children learn skills.,Children become teenagers.,Teenagers undergo puberty.,Teenagers become adults.,Adults have children.,Adults become elderly.,Elderly humans die.
rabbit,Describe the life cycle of a rabbit,528,A male and female rabbit mate.,The female rabbit becomes pregnant.,Baby rabbits form inside of the mother rabbit.,The female rabbit gives birth to a litter.,The newborn rabbits grow up to become adults.,The adult rabbits find mates.,,,,
rabbit,Describe the life cycle of a rabbit,529,Baby rabbits are born alive.,Rabbits are (only occasionally) nursed by their mothers.,Many of the babies do not survive.,Larger and stronger rabbit do manage to survive.,Rabbits quickly become able to have babies of their own.,The rabbit lifecycle continues.,The amount of rabbits stays reasonable because of predators and low survival rates for their young.,,,
plant,Describe the life cycle of a plant,530,Plants start off as a seed.,The seed germinates.,The plant gets nutrition from the environment.,The plant grows from the nutrients.,The plant produces flowers.,The flowers produce fruit.,The fruit releases seeds.,The seeds become new plants.,The original plant dies at some point.,
plant,Describe the life cycle of a plant,531,A seed or seeds planted into the ground.,The seed becomes a seeding and grows with water.,The sun.,The seeding grows into a mature plant.,Becomes a flower.,,,,,
plant,Describe the life cycle of a plant,532,The seed germinates.,The plant grows.,The plant flowers.,Produces fruit.,The fruit releases seeds.,The plant dies.,,,,
tree,Describe the life cycle of a tree,533,A seed comes from an adult tree.,It sprouts from the soil.,"It grows into a small seedling, a tree's infancy.","It grows bigger and becomes a sapling, a juvenile tree.","It reaches maturity, this make take many years depending on the type of tree.",The tree will begin to age and decline.,Eventually rot and decay after it dies.,,,
tree,Describe the life cycle of a tree,534,A seed is planted.,The seed becomes a small tree.,The small tree becomes larger and grows.,Some trees bear fruit.,Flowers.,After awhile the tree will stop growing.,Eventually die.,,,
blood,How does blood remove waste from the human body?,536,Blood is full of different waste.,Blood travels through the body.,The blood enters the kidneys.,The kidneys filter the blood.,The waste is seperated.,The urine contains the waste.,The urine is expelled from the body.,,,
lung,How do lungs work?,539,They expand to take the air in .,The cells of the lung hold the air.,They take in the air and remove the Oxygen.,They inflate and all the bad air leaves through the mouth.,They do it all over again.,,,,,
lung,How do lungs work?,540,You breathe in.,Diaphragm and other muscles expand to allow room for your lungs to fill.,The air flows into the narrow bronchioles in the lungs.,From the bronchioles to the alveoli.,The oxygen enters into the bloodstream.,Is switched with the carbon dioxide in the bloodstream.,The carbon dioxide enters through the alveoli.,Through the narrow bronchioles.,Into the lungs.,The carbon dioxide is exhaled out of the body.
kidney,Describe what kidneys do,542,Waste builds up in the blood.,Blood enters the kidney.,Blood passes through nephrons in the kidney.,Different kinds of waste are momentarily trapped in the kidney.,Cleaned blood flows out of the kidney.,Filtered waste accumulates in liquid form (urine).,Urine flows out of the kidney into the bladder.,,,
kidney,Describe what kidneys do,543,Blood is carried into the kidneys by the renal artery.,Kidneys filter that blood tiny filters inside the kidneys called nephrons.,Remove the waste from the blood.,The waste that is collected combines with water to become urine.,"As each kidney makes urine, the urine slides down a long tube called the ureter.",Collects in the bladder.,The filtered blood is sent back into the body.,,,
kidney,Describe what kidneys do,544,They take in fluids and liquids.,They process the fluid.,They take out the toxins.,Produce urine.,Urine is released.,The nutrients are returned to the body.,,,,
kidney,Describe how kidneys work,545,Fluid.,Waste enters the kidneys.,A processing moment in the kidneys let waste and fluid pass.,Prevents larger molecules to pass.,Fluid goes back to the bloodstream.,Bad waste is removed.,The final product is turned into urine.,,,
kidney,Describe how kidneys work,546,The kidneys receive blood from the renal artery.,They process it with millions of tiny nephrons.,Remove all the waste.,The kidneys return the blood back to the body through the renal artery.,Send the urine with the waste to the bladder through the ureters.,,,,,
kidney,Describe how kidneys work,547,The kidneys receive blood through the renal artery.,The blood is passed through the nephrons in the kidneys.,The kidneys filter the waste from the blood.,The clean blood is circulated out of the kidneys.,Excess water and waste is expelled from the kidneys in the form of urine.,,,,,
liver,Describe how the liver works,548,The liver removes toxins from the blood.,Liver also cleans blood that has just been enriched with vitamins and minerals during digestion.,Liver processes the good stuff into forms that the rest of the body can use.,Waste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys.,The liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.,The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed.,,,,
liver,Describe how the liver works,550,Blood is sent to the liver.,The liver uses chemicals and proteins to treat the blood.,The blood is cleaned.,Energy is produced.,The blood leaves the liver cleaned.,,,,,
pancreas,Describe how the pancreas works,551,Food.,Water enter the body.,Bloodstream.,Food and water enter the pancreas.,The pancreas breaks down carbs.,Helps digest other foods and liquids.,,,,
pancreas,Describe how the pancreas works,552,Food enters the body.,Food begins to be processed by the digestive system.,The pancreas releases enzymes to aid digestion.,Digested food affects the amount of sugar in the blood.,The pancreas releases one hormone to lower the blood sugar (glucose) level.,The pancreas releases another hormone to raisethe blood sugar (glucose) level.,,,,
insulin,How does the body control its blood sugar level?,555,Food enters the body.,The food is broken down.,Sugars from the food enter the bloodstream.,Blood sugar must be within a particular range to avoid damaging many organs.,Sometimes the brain tells the pancreas the blood sugar (glucose) is too low.,The pancreas releases glucagon to change the blood sugar to a better level.,Sometimes the brain tells the pancreas the blood sugar (glucose) is too high.,The pancreas releases insulin to change the blood sugar to a better level.,,
insulin,How does the body control its blood sugar level?,556,Sugar enters the body.,Bloodstream.,The pancreas.,Insulin lower sugar levels.,Bloo sugar goes back to normal.,,,,,
wine,How do you make wine?,557,Grapes are grown.,A selection of grapes are gathered.,The grapes are washed.,The stems are removed from the grapes.,The grapes are crushed and added to a fermation container.,Yeast is added to the container.,"The yeast eats the sugar in the yeast, releasing alcohol.",,,
steam engine,How does a steam engine work?,563,Coal is heated in the boiler.,The water tank over the boiler is heated.,Creates steam.,The steam is funneled to the piston.,Piston uses the steam as energy.,The piston causes the crankshaft to move.,,,,
steam engine,How does a steam engine work?,565,Coal is loaded into the firebox.,The boiler produces steam under high pressure.,The steam generated in the boiler flows down into a cylinder.,"Just ahead of the wheels, pushing a tight-fitting plunger, the piston.",The piston is connected to one or more of the locomotive's wheels through a kind of arm-elbow-shoulder joint called a crank and connecting rod.,"As the piston pushes, the crank and connecting rod turn the locomotive's wheels and power the train along.",An outlet valve opens and the piston pushes the steam back through the cylinder and out up the locomotive's chimney.,,,
flight,Describe the steps in taking a flight from one place to another,574,An airline reservation is made.,The passenger arrives early at the airport.,The luggage is checked.,The passenger waits in line.,The passenger shows their identification and gets a boarding pass.,The passenger goes to their gate.,The passenger gets in line when it's time to board.,The person boards the plane.,The plane arrives at the destination.,The passenger gets off the plane at their destination.
tornado,How do tornadoes form?,582,"Warm, moist air moves from south to north.","Cool, dry air moves from north to south.",The air masses meet.,The conditions that form are not stable because the air masses are so different.,Winds are directed in a certain way because of how the masses interact.,An updraft results.,Winds start to form circular patterns in the updraft.,A tornado can result.,,
tornado,How do tornadoes form?,583,"Warm, humid low-pressure air rises.",Creates a strong updraft.,"Dry, cold high-pressure air is punched through.",The opposing winds create rotation.,When the rotation is violent enough a funnel forms.,Drops to the ground.,,,,
storm,Describe the steps in a storm forming,584,Warm weather causes water to evaporate.,The water rises up in the air.,It starts to cools down.,The water starts to condense.,It forms into clouds.,When there is enough moisture in the clouds it starts to rain.,,,,
butterfly,Describe the lifecycle of a butterfly,587,A butterfly starts as an egg.,The egg hatches.,A larva emerges.,The larva eats and grows.,The larva sheds its skin.,The larva enters a chrysalis.,The pupa grows inside the chrysalis.,The adult butterfly exits the chrysalis.,The adult butterfly is now fully grown.,The adult butterfly lays more eggs.
butterfly,Describe the lifecycle of a butterfly,588,A butterfly lays an egg.,A larvae matures inside of the egg.,The caterpillar hatches from the egg.,The caterpillar eats and grows.,The caterpillar spins a coccoon around itself and forms into a pupa.,The butterfly forms inside of the coccoon.,The mature butterfly emerges from the coccoon.,The butterfly mates.,The female butterfly lays eggs.,
butterfly,Describe the lifecycle of a butterfly,589,EGG.,ITS LAID ON A LEAF OR PLANT.,THE EGG HATCHES.,THE LARVA COMES OUT(CATERPILLAR).,IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,CONTINUES TO EAT TO GROW QUICKLY.,AFTER ITS GROWN TO FULL LENGHT IT FORMS INTO A PUPA.,UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.,AFTER HE BUTTERFLY IS FOMED IT PUMPS BLOOD INTO ITS WINGS TO GAIN STRENGHT TO BE ABLE TO FLY.,TH EBUTTERLFY IS FIANLLY ABLE TO FLY AWAY.
car,Describe how a car works,600,Fuel is converted to energy when air and petrol mix.,The car engine burns the mix of air and petrol.,Hot gas from the burning pushes the pistons.,The resulting energy powers the crankshaft.,Crankshaft powers the gears.,The gears make the wheels roll.,,,,
acid rain,Describe how acid rain can affect the environment.,605,Acid rain is produced by chemicals that reach into the atmosphere.,Falls onto the ground.,The acid rain starts scouring rocks.,Destroys vegetation.,The lack of vegetation alters the surrounding environment.,,,,,
acid rain,Describe how acid rain can affect the environment.,607,Acid rain leaches aluminum from clay particles in soil.,Aluminum flows into streams and lakes.,Acid rain dissolves minerals and nutrients in soil.,Washes them away so plants can't benefit from them.,PH in soil and water gets affected which can kill plants and animals.,Acid rain in fog at higher elevations can strip foliage off trees.,,,,
